"geoid","geolevel","year","education_score","education_rnk","education_state_rnk"
"05000US13163","county","2019","77.41","10.7417","20.3822"
"05000US13165","county","2019","66.5","3.1969","3.8217"
"05000US13167","county","2019","67.54","3.7084","5.0955"
"05000US13169","county","2019","109.56","72.3465","82.1656"
"05000US13171","county","2019","105.53","64.6739","77.0701"
"05000US13173","county","2019","93.15","36.1573","57.3248"
"05000US13175","county","2019","97.01","44.789","62.4204"
"05000US13177","county","2019","118.75","84.4629","89.8089"
"05000US13179","county","2019","108.82","71.0997","81.5287"
"05000US13181","county","2019","78.69","12.1803","22.293"
"05000US13183","county","2019","101.65","56.0742","70.0637"
"05000US13185","county","2019","112.81","76.9182","85.3503"
"05000US13187","county","2019","103.84","60.8696","73.8854"
"05000US13189","county","2019","97.24","45.3964","63.0573"
"05000US13191","county","2019","100.2","52.6854","67.5159"
"05000US13193","county","2019","72.14","6.3619","11.465"
"05000US13195","county","2019","95.15","40.7928","59.2357"
"05000US13197","county","2019","81.14","15.5371","29.2994"
"05000US13199","county","2019","70.62","5.3708","8.9172"
"05000US13201","county","2019","84.92","20.876","38.8535"
"05000US13205","county","2019","84.5","20.3645","38.2166"
"05000US13207","county","2019","111.16","74.6483","84.0764"
"05000US13209","county","2019","85.24","21.4514","40.1274"
"05000US13211","county","2019","106.17","65.8887","77.707"
"05000US13213","county","2019","67.9","3.9322","5.7325"
"05000US13215","county","2019","112.07","75.8632","84.7134"
"05000US13217","county","2019","103.88","60.9335","74.5223"
"05000US13219","county","2019","140.85","96.899","98.7261"
"05000US13221","county","2019","86.84","24.8721","43.949"
"05000US13223","county","2019","118.69","84.2711","89.172"
"05000US13225","county","2019","103.78","60.5499","72.9299"
"05000US13227","county","2019","100.13","52.5895","66.879"
"05000US13229","county","2019","79.26","12.8517","23.5669"
"05000US13231","county","2019","97.91","46.7391","64.3312"
"05000US13233","county","2019","79.58","13.2673","24.2038"
"05000US13235","county","2019","73.72","7.6407","14.0127"
"05000US13237","county","2019","100.46","53.2289","68.1529"
"05000US13239","county","2019","51.27","0.8312","0"
"05000US13241","county","2019","91.29","33.0243","54.7771"
"05000US13243","county","2019","73.39","7.4169","13.3758"
"05000US13245","county","2019","101.69","56.266","70.7006"
"05000US13247","county","2019","111.09","74.5524","82.8025"
"05000US13249","county","2019","96.77","44.4693","61.7834"
"05000US13251","county","2019","93.29","36.6049","58.5987"
"05000US13253","county","2019","84.94","20.9079","39.4904"
"05000US13255","county","2019","88.89","28.7404","47.7707"
"05000US13257","county","2019","86.1","23.4015","40.7643"
"05000US13259","county","2019",NA,NA,NA
"05000US13261","county","2019","98.44","48.2737","65.6051"
"05000US13263","county","2019","86.13","23.4335","41.4013"
"05000US13265","county","2019","60.77","1.9821","1.9108"
"05000US13267","county","2019","79.87","13.9386","25.4777"
"05000US13269","county","2019","81.1","15.4092","28.6624"
"05000US13271","county","2019","57.81","1.4386","1.2739"
"05000US13273","county","2019","80.23","14.546","27.3885"
"05000US13275","county","2019","103.78","60.5499","72.9299"
"05000US13277","county","2019","91.52","33.5678","55.414"
"05000US13279","county","2019","82.19","16.9437","33.121"
"05000US13281","county","2019","100.81","54.0601","69.1083"
"05000US13283","county","2019","70.84","5.5946","9.5541"
"05000US13285","county","2019","95.92","42.6471","59.8726"
"05000US13287","county","2019","81.65","16.1445","31.2102"
"05000US13289","county","2019","83.13","18.1266","35.6688"
"05000US13291","county","2019","95.97","42.8708","60.5096"
"05000US13293","county","2019","91.21","32.8645","54.1401"
"05000US13295","county","2019","90.06","30.7864","50.9554"
"05000US13297","county","2019","107.76","68.734","79.6178"
"05000US13299","county","2019","86.83","24.8082","43.3121"
"05000US13301","county","2019","72.33","6.4898","12.1019"
"05000US13303","county","2019","91.76","33.7916","56.051"
"05000US13305","county","2019","80.69","14.9616","28.0255"
"05000US13307","county","2019","89.17","29.156","49.0446"
"05000US13309","county","2019","80.07","14.2903","26.1146"
"05000US13311","county","2019","91","32.4808","53.1847"
"05000US13313","county","2019","66.78","3.3248","4.4586"
"05000US13315","county","2019","79.16","12.7238","22.9299"
"05000US13317","county","2019","83.94","19.6292","37.5796"
"05000US13319","county","2019","92.92","35.422","56.6879"
"05000US13321","county","2019","90.38","31.6176","52.2293"
"05000US15001","county","2019","115.97","81.234","33.3333"
"05000US15003","county","2019","136.19","95.3325","100"
"05000US15005","county","2019",NA,NA,NA
"05000US15007","county","2019","115.34","80.1151","0"
"05000US15009","county","2019","116.73","82.3529","66.6667"
"05000US16001","county","2019","133.37","93.9898","95.3488"
"05000US16003","county","2019","97.21","45.3005","58.1395"
"05000US16005","county","2019","118.89","84.5588","90.6977"
"05000US16007","county","2019","88.82","28.5806","30.2326"
"05000US16009","county","2019","93.84","37.9795","41.8605"
"05000US16011","county","2019","92.48","34.8146","34.8837"
"05000US16013","county","2019","112.57","76.5665","81.3953"
"05000US16015","county","2019","113.85","78.3248","86.0465"
"05000US16017","county","2019","96.77","44.4693","55.814"
"05000US16019","county","2019","113","77.078","83.7209"
"05000US16021","county","2019","95.85","42.4552","48.8372"
"05000US16023","county","2019","97.39","45.876","60.4651"
"05000US16025","county","2019","102.09","57.4169","67.4419"
"05000US16027","county","2019","92.72","35.1662","37.2093"
"05000US16029","county","2019","103.57","60.0064","72.093"
"05000US16031","county","2019","88.66","28.2609","27.907"
"05000US16033","county","2019","24.53","0.0639","0"
"05000US16035","county","2019","95.98","42.9028","51.1628"
"05000US16037","county","2019","95.76","42.1995","46.5116"
"05000US16039","county","2019","102.55","58.2801","69.7674"
"05000US16041","county","2019","98.27","47.7302","62.7907"
"05000US16043","county","2019","90.27","31.3619","32.5581"
"05000US16045","county","2019","86.38","23.8491","23.2558"
"05000US16047","county","2019","77.56","10.9015","13.9535"
"05000US16049","county","2019","100.81","54.0601","65.1163"
"05000US16051","county","2019","109.66","72.5703","76.7442"
"05000US16053","county","2019","67.39","3.6125","6.9767"
"05000US16055","county","2019","115.2","79.8913","88.3721"
"05000US16057","county","2019","147.82","98.2097","100"
"05000US16059","county","2019","94.6","39.61","44.186"
"05000US16061","county","2019","85.64","22.5384","20.9302"
